resourceType,resourceProvider,providerDisplayName,typeOnly,displayName,apiVersions,defaultApiVersion,locationsCount,locations,servicePrincipals,supportsPrivateEndpoint,supportsManagedIdentity,supportsTags,supportsLock
microsoft.adhybridhealthservice/operations,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,operations,Operations,2014-01-01,,0,,,False,False,False,False
microsoft.adhybridhealthservice/reports,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,reports,n/a,2014-01-01,,0,,,False,False,False,False
microsoft.adhybridhealthservice/reports/availabledeployments,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,reports/availabledeployments,DevOps Reports,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/reports/badpassword,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,reports/badpassword,DevOps Reports,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/reports/badpassworduseridipfrequency,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,reports/badpassworduseridipfrequency,Technical Advisor Reports,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/reports/consentedtodevopstenants,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,reports/consentedtodevopstenants,DevOps Reports,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/reports/isdevops,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,reports/isdevops,DevOps Reports,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/reports/selectdevopstenant,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,reports/selectdevopstenant,DevOps Reports,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/reports/selecteddeployment,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,reports/selecteddeployment,DevOps Reports,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/reports/tenantassigneddeployment,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,reports/tenantassigneddeployment,DevOps Reports,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/reports/updateselecteddeployment,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,reports/updateselecteddeployment,DevOps Reports,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/servicehealthmetrics,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,servicehealthmetrics,n/a,2014-01-01,,0,,,False,False,False,False
microsoft.adhybridhealthservice/services,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,services,Service,2014-01-01,,0,,,False,False,False,False
microsoft.adhybridhealthservice/services/alerts,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,services/alerts,Alert,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/services/checkservicefeatureavailibility,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,services/checkservicefeatureavailibility,Service Member,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/services/exporterrors,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,services/exporterrors,Service Member,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/services/exportstatus,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,services/exportstatus,Service Member,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/services/feedbacktype/feedback,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,services/feedbacktype/feedback,Service,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/services/ipaddressaggregates,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,services/ipAddressAggregates,Service,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/services/ipaddressaggregatesettings,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,services/ipAddressAggregateSettings,Service,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/services/metricmetadata,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,services/metricmetadata,Service,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/services/metrics/groups,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,services/metrics/groups,Service,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/services/metrics/groups/average,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,services/metrics/groups/average,Service,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/services/metrics/groups/sum,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,services/metrics/groups/sum,Service,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/services/monitoringconfiguration,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,services/monitoringconfiguration,Service,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/services/monitoringconfigurations,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,services/monitoringconfigurations,Service,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/services/premiumcheck,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,services/premiumcheck,Service,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/services/reports,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,services/reports,Service,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/services/reports/bloburis,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,services/reports/blobUris,Service,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/services/reports/details,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,services/reports/details,Service,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/services/servicemembers,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,services/servicemembers,Service Member,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/services/servicemembers/alerts,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,services/servicemembers/alerts,Alert,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/services/servicemembers/credentials,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,services/servicemembers/credentials,Service Member,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/services/servicemembers/datafreshness,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,services/servicemembers/datafreshness,Service Member,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/services/servicemembers/exportstatus,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,services/servicemembers/exportstatus,Service Member,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/services/servicemembers/metrics,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,services/servicemembers/metrics,Service Member,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/services/servicemembers/metrics/groups,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,services/servicemembers/metrics/groups,Service Member,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/services/servicemembers/serviceconfiguration,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,services/servicemembers/serviceconfiguration,Service Member,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/services/tenantwhitelisting,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,services/tenantwhitelisting,Service Member,,,0,,,False,undetermined,undetermined,undetermined
