technique_id,technique,tactics,audit_category,audit_sub_category,event_id
T1055.008,Ptrace System Calls,defense-evasion; privilege-escalation,Object Access,Kernel Object,4656
T1055.012,Process Hollowing,defense-evasion; privilege-escalation,Object Access,Kernel Object,4656
T1074,Data Staged,collection,Object Access,File System,4656
T1074.001,Local Data Staging,collection,Object Access,File System,4656
T1074.002,Remote Data Staging,collection,Object Access,File System,4656
T1087,Account Discovery,discovery,Object Access,File System,4656
T1087.001,Local Account,discovery,Object Access,File System,4656
T1091,Replication Through Removable Media,lateral-movement; initial-access,Object Access,File System,4656
T1114,Email Collection,collection,Object Access,File System,4656
T1114.001,Local Email Collection,collection,Object Access,File System,4656
T1119,Automated Collection,collection,Object Access,File System,4656
T1185,Browser Session Hijacking,collection,Object Access,Kernel Object,4656
T1187,Forced Authentication,credential-access,Object Access,File System,4656
T1217,Browser Bookmark Discovery,discovery,Object Access,File System,4656
T1539,Steal Web Session Cookie,credential-access,Object Access,File System,4656
T1539,Steal Web Session Cookie,credential-access,Object Access,Kernel Object,4656
T1552,Unsecured Credentials,credential-access,Object Access,File System,4656
T1552,Unsecured Credentials,credential-access,Object Access,Registry,4656
T1552.001,Credentials In Files,credential-access,Object Access,File System,4656
T1552.002,Credentials in Registry,credential-access,Object Access,Registry,4656
T1552.003,Bash History,credential-access,Object Access,File System,4656
T1552.004,Private Keys,credential-access,Object Access,File System,4656
T1552.006,Group Policy Preferences,credential-access,Object Access,File System,4656
T1552.007,Container API,credential-access,Object Access,File System,4656
T1555,Credentials from Password Stores,credential-access,Object Access,File System,4656
T1555,Credentials from Password Stores,credential-access,Object Access,Kernel Object,4656
T1555.001,Keychain,credential-access,Object Access,File System,4656
T1555.002,Securityd Memory,credential-access,Object Access,Kernel Object,4656
T1555.003,Credentials from Web Browsers,credential-access,Object Access,File System,4656
T1555.003,Credentials from Web Browsers,credential-access,Object Access,Kernel Object,4656
T1555.004,Windows Credential Manager,credential-access,Object Access,File System,4656
T1555.005,Password Managers,credential-access,Object Access,File System,4656
T1555.005,Password Managers,credential-access,Object Access,Kernel Object,4656
T1556,Modify Authentication Process,persistence; defense-evasion; credential-access,Object Access,Kernel Object,4656
T1556.001,Domain Controller Authentication,persistence; defense-evasion; credential-access,Object Access,Kernel Object,4656
T1558,Steal or Forge Kerberos Tickets,credential-access,Object Access,File System,4656
T1567,Exfiltration Over Web Service,exfiltration,Object Access,File System,4656
T1567.001,Exfiltration to Code Repository,exfiltration,Object Access,File System,4656
T1567.002,Exfiltration to Cloud Storage,exfiltration,Object Access,File System,4656
T1614.001,System Language Discovery,discovery,Object Access,Registry,4656
T1056,Input Capture,collection; credential-access,Object Access,Registry,4657
T1056.001,Keylogging,collection; credential-access,Object Access,Registry,4657
T1070,Indicator Removal on Host,defense-evasion,Object Access,Registry,4657
T1111,Two-Factor Authentication Interception,credential-access,Object Access,Registry,4657
T1112,Modify Registry,defense-evasion,Object Access,Registry,4657
T1137,Office Application Startup,persistence,Object Access,Registry,4657
T1137.001,Office Template Macros,persistence,Object Access,Registry,4657
T1137.002,Office Test,persistence,Object Access,Registry,4657
T1137.006,Add-ins,persistence,Object Access,Registry,4657
T1218,Signed Binary Proxy Execution,defense-evasion,Object Access,Registry,4657
T1218.002,Control Panel,defense-evasion,Object Access,Registry,4657
T1489,Service Stop,impact,Object Access,Registry,4657
T1490,Inhibit System Recovery,impact,Object Access,Registry,4657
T1543,Create or Modify System Process,persistence; privilege-escalation,Object Access,Registry,4657
T1543.003,Windows Service,persistence; privilege-escalation,Object Access,Registry,4657
T1546,Event Triggered Execution,persistence; privilege-escalation,Object Access,Registry,4657
T1546.001,Change Default File Association,persistence; privilege-escalation,Object Access,Registry,4657
