service,action,AWS Service,Description,Resource type (console),resources.type,eventType,eventCategory,eventName,ACSC Recommended,ACSC Logging Condition
a4b,StartDeviceSync,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,StartSmartHomeApplianceDiscovery,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,TagResource,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,UntagResource,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,UpdateAddressBook,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,UpdateBusinessReportSchedule,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,UpdateConferenceProvider,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,UpdateContact,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,UpdateDevice,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,UpdateGateway,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,UpdateGatewayGroup,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,UpdateNetworkProfile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,UpdateProfile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,UpdateRoom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,UpdateSkillGroup,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,ApplyArchiveRule,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,CancelPolicyGeneration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,CheckAccessNotGranted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,CheckNoNewAccess,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,CheckNoPublicAccess,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
access-analyzer,CreateAccessPreview,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
